"","Scenario","SLR","Rainfall","maxcontents","maxstructure","df10cm","bruun_factor","Av_ppl"
"1061",1061,0.48,15.5,869,8832,0.01,50,2.3
"1062",1062,0.79,-2.6,903.39,5950,-0.06,66,2.9
"1063",1063,0.99,20.1,2361.73,6768,0,75,2.8
"1064",1064,0.7,14.7,1533.72,7413,-0.09,77,3
"1065",1065,0.37,23,2098.87,8285,-0.01,38,2.6
"1066",1066,0.95,-8.8,520.73,8734,0.09,77,2.2
"1067",1067,0.34,6.8,1942.29,8627,-0.07,24,2.2
"1068",1068,0.63,-5.8,1260.03,9608,-0.07,70,2.7
"1069",1069,0.25,-4.1,2366.62,6151,-0.05,76,2
"1070",1070,0.47,-5.8,1073.38,4268,0,94,2.6
"1071",1071,0.98,-8.7,1652.85,4575,-0.06,48,2.7
"1072",1072,0.09,18.7,1950.66,4056,-0.07,68,2
"1073",1073,0.83,0.1,1741.14,4607,-0.06,82,2.3
"1074",1074,0.81,0.8,2290.79,8477,-0.03,36,2.9
"1075",1075,0.23,-1.7,1718.38,6434,0.04,80,2
"1076",1076,0.96,-0.2,1684.92,5256,-0.08,43,2.1
"1077",1077,0.11,-0.4,588.58,7466,-0.01,85,2.9
"1078",1078,0.94,24.8,887.24,8336,0.04,82,3
"1079",1079,0.04,-8.9,2492.92,7688,0.1,29,2.4
"1080",1080,0.24,9.7,631.54,5551,-0.05,89,2.1
"1081",1081,0.87,16,2112.8,4799,0.01,50,2.6
"1082",1082,0.05,20.5,1592.93,9108,-0.08,32,2.7
"1083",1083,0.58,21,2382.33,7328,0.03,11,2.2
"1084",1084,0.97,21.2,1901.77,6012,-0.1,99,2.6
"1085",1085,0.61,4.5,812.61,8927,0,54,2.9
"1086",1086,0.1,-3.3,1144.57,8018,-0.06,13,2.3
"1087",1087,0.55,-4.4,2218.71,4012,0,24,2.9
"1088",1088,0.38,24.9,1258.07,4725,-0.04,57,2.3
"1089",1089,0.69,12.6,1021.42,9970,0.04,92,3
"1090",1090,0.89,-3.2,1730.36,8945,-0.04,54,2.2
"1091",1091,0.19,2.7,2409.67,8284,0.02,45,2.6
"1092",1092,0.89,9.3,827.91,4180,0.04,14,2.4
"1093",1093,0.87,18.7,2083.47,5254,-0.05,33,2.7
"1094",1094,0.71,2.9,2215.16,6949,0.09,68,2.2
"1095",1095,0.85,26.4,1896.13,8647,-0.05,38,2
"1096",1096,0.43,0.2,1665.68,5282,0.03,99,2.2
"1097",1097,0.45,7.5,1164.87,8699,0.01,59,2.9
"1098",1098,0.58,-0.7,1712.85,6120,0.09,81,2.8
"1099",1099,0.96,4.9,2252.28,9373,0.05,81,2.3
"1100",1100,0.23,29.8,1902.06,4830,0.06,75,2.3
"1101",1101,0.7,9.8,1265.88,5797,0.05,14,2.7
"1102",1102,0.96,17.7,2370.24,5944,0.03,97,2
"1103",1103,0.57,-8.1,1496.67,6501,-0.08,34,2
"1104",1104,0.4,7,2413.16,9698,-0.04,41,2.5
"1105",1105,0.3,29,1738.03,6571,-0.09,69,2.4
"1106",1106,0.5,27.1,1315.37,7623,-0.03,16,2.1
"1107",1107,0.96,17,1847.14,4598,-0.05,22,2.5
"1108",1108,0.39,7.6,1999.75,8520,-0.06,37,2
"1109",1109,0.76,16.8,763.28,9334,0.05,14,2.6
"1110",1110,0.63,27.2,1920.08,7340,-0.01,62,2.7
"1111",1111,0.92,5.7,1078.54,8417,0.07,47,2.8
"1112",1112,0.78,20,2188.28,8665,-0.03,78,2
"1113",1113,0.71,14.5,861.45,8842,-0.07,21,2
"1114",1114,0.75,-4.4,2221.11,5140,-0.01,42,2.9
"1115",1115,0.46,25.7,2302.69,6198,-0.09,79,2.3
"1116",1116,0.37,27.2,1964.07,5138,-0.09,98,2.9
"1117",1117,0.58,20.7,1359.33,4211,0.02,15,2.2
"1118",1118,0.33,23.5,1561.74,8151,0.07,66,2.3
"1119",1119,0.32,0.2,1403.55,8822,0.09,97,2.5
"1120",1120,0.68,1.3,1704.57,6826,0.08,19,2.3
"1121",1121,0.92,-2.2,1520.64,5557,-0.02,48,2.4
"1122",1122,0.32,-8.1,2175.96,9643,-0.09,19,2.1
"1123",1123,0.77,23.7,575.11,6649,-0.09,66,2.9
"1124",1124,0.32,-5.7,1675.86,4196,0.1,32,2.8
"1125",1125,0.01,7.4,1235.67,8720,-0.08,99,2.1
"1126",1126,0.16,26.3,1026.44,7203,0.04,96,3
"1127",1127,0.77,8.1,603.99,6526,-0.02,40,2.2
"1128",1128,0.31,-4.8,2199.87,5211,0.06,32,2.4
"1129",1129,0.95,28.2,865.07,5698,0.02,36,3
"1130",1130,0.26,11,1962.23,7712,0.09,79,2.6
"1131",1131,0.73,1.2,1654.94,5982,0,75,2.3
"1132",1132,0.58,14.2,2069.13,8129,-0.03,40,2.7
"1133",1133,0.21,27.5,2030.89,8035,0.02,37,2.5
"1134",1134,0.42,17,1740.46,7434,0.01,56,2.3
"1135",1135,0.15,18,2256.69,8482,-0.03,76,2.4
"1136",1136,0.62,25.6,1641.7,6929,-0.08,19,2.6
"1137",1137,0.57,8.8,632.18,6106,0.03,83,2.5
"1138",1138,0.74,7.6,947.88,5624,-0.05,12,2.4
"1139",1139,0.75,21,1322.66,5945,0.05,40,2.6
"1140",1140,0.51,-7,1314.81,8523,-0.01,62,2.6
"1141",1141,0.72,-6.6,2119.26,5017,-0.04,94,2.7
"1142",1142,0.71,-6,1111.66,9339,0.1,28,2.6
"1143",1143,0.4,6.1,1054.19,7535,0.05,46,2
"1144",1144,0.23,-1.2,816.06,5655,0.09,24,2.7
"1145",1145,0.63,0.1,2373.38,6915,0.03,51,2.1
"1146",1146,0.7,8.7,1490.42,6802,-0.03,88,2.2
"1147",1147,0.58,24.1,2070.51,9147,-0.03,20,2.5
"1148",1148,0.22,3.2,786.5,6089,0.06,81,2.3
"1149",1149,0.9,10.4,1448.08,6622,-0.02,68,3
"1150",1150,0.63,16.2,1558.29,4514,0.08,98,2.8
"1151",1151,0.54,11,813.19,6379,-0.07,38,2.3
"1152",1152,0.59,-6.9,1874.11,4046,0,90,2.9
"1153",1153,0.83,19.2,2423.49,4605,-0.09,85,3
"1154",1154,0.56,-6.5,1362.9,5213,-0.1,57,2.9
"1155",1155,0.79,-4.8,1428.04,4860,-0.05,63,2.8
"1156",1156,0.13,2.1,1679.16,4762,0.03,51,2.2
"1157",1157,0.37,13,1683.38,7318,0.1,51,2.9
"1158",1158,0.11,-1.8,1478.63,7276,-0.06,66,2.5
"1159",1159,0.51,7.2,745.33,8810,0,89,2.9
"1160",1160,0.01,20.9,983.57,5128,0.01,35,2.4
"1161",1161,0.94,17.2,521.22,4657,0.05,61,2.5
"1162",1162,0.48,-5.8,2416.53,7350,-0.03,42,2.7
"1163",1163,0.76,-2,720.74,8385,0.07,38,2.3
"1164",1164,0.41,-4.3,1422.54,9108,-0.04,77,2.4
"1165",1165,0.72,25.9,1296.24,5824,-0.06,34,2.6
"1166",1166,0.12,13.4,895.35,9233,-0.1,46,2.9
"1167",1167,0.92,-3.8,2455.93,9368,0.04,66,2.3
"1168",1168,0.86,16,1911.29,6510,0.09,65,2.3
"1169",1169,0.07,6.6,1839.39,9851,-0.09,54,2.6
"1170",1170,0.03,16.1,1626.9,6728,-0.04,18,2.2
"1171",1171,0.49,27.6,1625.55,8229,-0.08,63,2.9
"1172",1172,0.83,26.9,1240.51,8791,-0.1,63,2.8
"1173",1173,0.83,-3,919.77,7098,-0.02,59,2.1
"1174",1174,0.56,26.9,760.06,6925,0,22,2.9
"1175",1175,0.62,-0.6,722.7,9327,-0.01,39,2.1
"1176",1176,0.71,6.9,1047.9,6452,0.01,37,2.1
"1177",1177,0.1,16.5,1468.21,7520,0.02,98,2.1
"1178",1178,0.51,7,2458.63,7983,-0.05,89,2.2
"1179",1179,0.02,-9.4,1246.99,6750,0.01,11,2.9
"1180",1180,0.9,-3.5,2040.76,5354,0.04,31,2.7
"1181",1181,0.09,16.1,1209.74,4588,0.02,65,2.7
"1182",1182,0.28,11.2,2360.31,4841,0.04,18,2.8
"1183",1183,0.08,23.5,864.58,4394,0.1,13,2.3
"1184",1184,0.89,27.5,2349.3,6709,0.03,28,2.7
"1185",1185,0.93,-1.8,953.42,6976,0.05,91,2.8
"1186",1186,0.95,9.5,2049.03,9678,0.04,69,2.9
"1187",1187,0.76,16.1,704.98,6336,0.07,24,2.5
"1188",1188,0.52,14.9,734.19,6595,0.08,87,2.4
"1189",1189,0.48,29.6,1056.21,4848,0.02,82,2.7
"1190",1190,0.93,10.5,1090.7,4675,-0.01,21,2.4
"1191",1191,0.22,14.4,1631.56,4191,0.08,68,2.5
"1192",1192,0.34,27,1824.22,4290,0.01,79,2.3
"1193",1193,0.93,26.2,1514.09,4173,0.05,13,2.4
"1194",1194,0.18,29.7,2060.35,9242,0.06,49,2.4
"1195",1195,0.29,-5.9,2249.24,6657,-0.09,78,2.2
"1196",1196,0.49,14,622.44,5585,0.03,69,2
"1197",1197,0.99,20.6,1878.53,7527,0.09,100,2.3
"1198",1198,0.2,23.6,1526.6,5889,0.07,63,2.4
"1199",1199,0.63,7.7,1911.92,5205,0.01,26,2.6
"1200",1200,0.28,3.8,1944.25,7955,0.03,66,2.8
"1201",1201,0.62,29.8,1881.98,9288,0.07,86,2.3
"1202",1202,0.22,28.8,2355.77,8150,0.08,94,3
"1203",1203,0.44,27.8,1873.02,9963,0.06,14,2.6
"1204",1204,0.87,-8.8,2083.83,9985,-0.03,18,2.1
"1205",1205,0.72,5.8,1563.52,5439,-0.01,59,2.3
"1206",1206,0.13,2.6,1663.84,9116,-0.04,51,2.3
"1207",1207,0.82,8.7,2424.5,9527,0.03,76,2.6
"1208",1208,0.15,-8.2,1434.93,5151,-0.04,64,2.4
"1209",1209,0.07,27.9,555.14,4382,0,38,2.6
"1210",1210,0.18,2,1445.26,8596,-0.07,21,2.8
"1211",1211,0.35,2.2,1659.06,8266,0.01,21,3
"1212",1212,0.87,17.3,2002.89,7501,-0.07,51,2.5
"1213",1213,0.07,-3.5,2077.07,6918,-0.05,95,2.2
"1214",1214,0.97,-4.1,1081.99,7341,0.03,37,2.8
"1215",1215,0.01,11.6,2380.49,5963,-0.1,15,2.7
"1216",1216,0.88,16.4,879.21,8995,0.04,55,2.2
"1217",1217,0.98,6.2,1507.37,8933,0,96,2.9
"1218",1218,0.22,-7.7,1875,6884,0,24,2.9
"1219",1219,0.62,-6.6,2353.17,8174,-0.05,70,2.8
"1220",1220,0.66,0.5,1000.38,5418,-0.03,20,2.1
"1221",1221,0.34,11.9,909.74,6414,-0.06,67,2.4
"1222",1222,0.77,25.9,1484.09,7041,0.09,42,2.9
"1223",1223,0.35,26.2,1940.76,8343,0.05,29,2.8
"1224",1224,0.34,11.1,2101.62,9829,0.07,45,2.4
"1225",1225,0.94,17.5,1695.83,5586,0.02,40,2.3
"1226",1226,0.5,24.5,2146.9,4402,0.07,58,2.7
"1227",1227,0.81,0.4,1914.59,5387,0.06,90,2.7
"1228",1228,0.39,12.2,1278.89,4748,0.1,81,2.3
"1229",1229,0.59,29.5,503.21,4629,-0.09,78,2.3
"1230",1230,0.4,-1.1,1051.48,9407,-0.07,73,2.7
"1231",1231,0.67,-0.2,1028.67,5679,-0.1,70,2
"1232",1232,0.37,20.3,1919.41,5919,0.03,96,2.4
"1233",1233,0.02,10.4,2139.14,7390,-0.07,50,2.1
"1234",1234,0.87,13.5,1760.97,7746,0.05,51,2.7
"1235",1235,0.22,21.9,1674.16,6181,0,93,2.6
"1236",1236,0.12,-5.2,978.62,8619,0,61,2.2
"1237",1237,0.91,27.3,1858.23,5828,-0.08,49,2.8
"1238",1238,0.38,22.8,2118.63,7200,0.08,82,2.8
"1239",1239,0.38,-7.4,2096.39,8149,0.05,62,2.2
"1240",1240,0.25,-2.5,565.73,6553,0.06,20,2.2
"1241",1241,0.64,1.5,826.67,9739,-0.08,53,2.9
"1242",1242,0.42,16.4,2456.22,7435,0.09,11,2.8
"1243",1243,0.89,10.2,1712.27,4729,0.04,15,2.5
"1244",1244,0.45,3.2,1073.17,7886,0,82,2.8
"1245",1245,0.88,11.6,1605.69,4679,0.07,56,2.4
"1246",1246,0.96,-7.5,521.77,5931,0.05,38,2.9
"1247",1247,0.97,15.1,1276.46,5554,-0.09,47,2.4
"1248",1248,0.99,19,1589.24,4441,-0.1,78,2.2
"1249",1249,0.97,25.1,2121.57,4087,-0.03,87,2.9
"1250",1250,0.85,27.1,1121,6441,-0.07,82,2.9
"1251",1251,0.36,1,801.92,6326,0.02,58,2.8
"1252",1252,0.65,-1.7,708.37,7154,-0.1,97,2.2
"1253",1253,0.28,26.7,2050.5,6734,0.03,39,2.1
"1254",1254,0.54,25.9,776.3,7512,-0.02,27,2.6
"1255",1255,0.01,28.7,1399.37,9033,0.01,95,2.2
"1256",1256,0.23,1.4,681.69,4155,0.05,63,2.9
"1257",1257,0.66,25.9,1374.62,5417,-0.01,53,2.6
"1258",1258,0.46,12.7,830.21,7644,0.05,73,2
"1259",1259,0.09,-8.5,1438.89,6618,0,26,2.2
"1260",1260,0.79,-5.4,686.93,7820,0.08,37,2.9
"1261",1261,0.58,-3.1,644.79,8957,-0.06,74,2.3
"1262",1262,0.81,26.9,1212.99,5332,0.02,88,2.6
"1263",1263,0.49,7.2,1452.89,4212,-0.1,95,2.9
"1264",1264,0.26,-1,1673.06,9391,-0.01,35,2.6
"1265",1265,0.45,-9.4,1628.97,5978,0.07,80,2
"1266",1266,0.15,3.3,650.58,6738,0,30,2.6
"1267",1267,0.37,-2.4,1169.91,9111,0.1,47,2.4
"1268",1268,0.35,3.7,2240.29,7913,0.1,100,2.1
"1269",1269,0.66,-4.4,1725.16,7993,-0.07,56,2.3
"1270",1270,0.99,-2.4,1649.92,7311,-0.02,54,2.5
"1271",1271,0.07,8,1187.84,9386,0.02,84,2.6
"1272",1272,0.89,17.4,2489.44,6303,0.05,34,2.4
"1273",1273,0.46,-3.4,862.52,8753,0.05,89,2.5
"1274",1274,0.69,12.1,2082.19,7823,0.04,55,2.1
"1275",1275,0.85,21.4,874.67,5036,0.07,41,2.4
"1276",1276,0.49,28.3,1050.18,7537,-0.04,11,3
"1277",1277,0.22,3,1684.22,9691,-0.09,23,2.9
"1278",1278,0.12,28.3,1524.05,6522,0.02,70,2.5
"1279",1279,0.84,8,2226.94,6219,-0.04,48,3
"1280",1280,0,11.2,1678.49,9012,0.01,19,2.9
"1281",1281,0.19,11.4,665.42,7023,-0.09,18,2.8
"1282",1282,0.19,28.7,901.29,6991,-0.06,15,2.7
"1283",1283,0.31,22.7,1958.72,8153,0.08,51,2.5
"1284",1284,0.84,13.8,1236.67,5593,-0.09,100,2.3
"1285",1285,0.34,-7.9,1455.53,4821,-0.1,83,2.1
"1286",1286,0.68,22.5,1362,9085,-0.08,43,2.3
"1287",1287,0.95,20.8,1184.03,9740,0.01,70,2.9
"1288",1288,0.54,-1.6,1712.69,7575,0,82,2.8
"1289",1289,0.14,0.9,1836.73,4528,0,70,2.8
"1290",1290,0.61,-8.4,1053.06,5411,-0.07,51,2
"1291",1291,0.73,26.2,2258.57,4287,0.09,24,3
"1292",1292,0.91,26.1,2088.15,8105,-0.01,20,2.5
"1293",1293,0.48,-1.2,701.58,8861,-0.03,74,2.5
"1294",1294,0.17,11.3,1449.47,5473,0.02,95,2.9
"1295",1295,0.97,-9.5,1580.26,9856,0.04,92,2.5
"1296",1296,0.84,22.6,1048.16,9255,-0.03,67,3
"1297",1297,0.51,-3.6,595.98,5772,-0.05,57,2
"1298",1298,0.33,13.2,983.91,6468,-0.06,61,3
"1299",1299,0.11,27.7,2205.2,8821,0.06,39,2.4
"1300",1300,0.53,13.2,2426.11,6348,-0.04,33,2
"1301",1301,0.17,6.6,2102.56,6967,0.06,58,2.5
"1302",1302,0.41,9.1,1428.97,8690,0.03,42,2.8
"1303",1303,0.25,10,1294.8,5376,-0.01,73,2.5
"1304",1304,0.06,1.9,1979.08,4176,0.04,31,3
"1305",1305,0.54,26.3,1398.21,5976,-0.03,97,2.8
"1306",1306,0.35,17.2,816.74,6490,-0.04,63,2.6
"1307",1307,0.51,12.4,1952.8,8513,0.07,78,2.8
"1308",1308,0.32,29.8,536.86,4444,0.06,94,2.5
"1309",1309,0.73,-2.7,1609.94,7082,-0.06,22,2.5
"1310",1310,0.83,29.4,792.14,9270,-0.05,69,2.9
"1311",1311,0.95,23.1,1251.75,4745,-0.07,28,2
"1312",1312,0.47,20.7,1958.9,9043,-0.04,79,2.8
"1313",1313,0.07,22.7,1323.38,4886,0.08,86,2.5
"1314",1314,0.61,-3.3,1781.46,8382,0.03,58,2
"1315",1315,0.37,-9.1,753.08,8400,0.02,95,2.9
"1316",1316,0.66,0.7,1014.3,5301,0.05,14,2.2
"1317",1317,0.09,-7.6,933.86,8773,-0.07,93,2.3
"1318",1318,0.8,19,1351.28,4255,0.07,39,2.7
"1319",1319,0.61,10.3,1373.08,4720,0.02,90,2.2
"1320",1320,0.08,19.2,2418.4,7308,-0.06,79,2.5
"1321",1321,0.86,23.4,1454.31,9355,0.06,36,2.8
"1322",1322,0.19,-7,2322.01,4963,0,22,2.3
"1323",1323,0.08,4.6,1472.56,4842,0.03,99,2.3
"1324",1324,0.7,25.7,2224.7,8264,0.02,91,2.3
"1325",1325,0.37,10.3,2098.09,7295,-0.06,62,2.3
"1326",1326,0.97,-6.8,1613.73,4337,0.1,18,2.1
"1327",1327,0.62,23.5,1477.27,4489,0.03,57,2.7
"1328",1328,0.34,-4.6,1744.42,9515,-0.03,50,2
"1329",1329,0.95,-6.5,777.37,8503,-0.02,38,2.8
"1330",1330,0.81,-6.4,628.95,6279,-0.04,48,2.8
"1331",1331,0.17,-2.3,1448.49,6427,0.05,35,2.2
"1332",1332,0.17,-9.9,685.6,8824,-0.01,69,2
"1333",1333,0.38,20.8,558.8,4817,0.09,19,2.8
"1334",1334,0.57,0.9,2388.8,9646,0.09,61,2
"1335",1335,0.91,18.1,2204.47,9538,-0.03,49,2.5
"1336",1336,0.79,11.6,2441.53,7368,0.03,82,2.3
"1337",1337,0.45,13.3,2108.18,8586,-0.06,64,2.8
"1338",1338,0.67,25.7,810.06,9993,-0.05,44,2.6
"1339",1339,0.24,3.8,859.04,4818,-0.06,99,2.8
"1340",1340,0.04,28.6,2414.17,9673,0,98,3
"1341",1341,0.58,26,2301.15,9358,0.04,34,2.5
"1342",1342,0.18,18.9,2148.01,8392,-0.08,38,2.2
"1343",1343,0.1,-5.7,1395.27,5625,-0.02,73,2.1
"1344",1344,0.36,-4.6,683.67,8177,-0.09,73,2.3
"1345",1345,0.32,15.2,1462.56,5488,0.08,61,2.3
"1346",1346,0.25,-5.9,544.38,9280,-0.09,21,2.4
"1347",1347,0.67,8.7,1411.6,7635,0.05,99,2.6
"1348",1348,0.39,10.2,1756.82,4467,0.06,15,2.2
"1349",1349,0.88,17.1,1437.71,7207,0.09,71,3
"1350",1350,0.34,-6.6,2121.95,9040,0,68,2.1
"1351",1351,0.77,17.1,784.83,6126,-0.01,90,2.5
"1352",1352,0.5,25.6,2114.19,4636,0.06,11,2.5
"1353",1353,0.91,19.8,1495.55,6411,0,86,2.6
"1354",1354,0.46,13.5,1477.89,6942,-0.04,80,2.6
"1355",1355,0.43,19.6,2202.34,4572,-0.1,34,2.7
"1356",1356,0.95,9.5,2050.83,9598,-0.07,21,3
"1357",1357,0.19,-5.4,770.61,5094,0.09,89,2.1
"1358",1358,0.7,28.3,582.13,4658,0.09,40,2.2
"1359",1359,0.9,14.9,1236.9,8662,0.05,32,2.2
"1360",1360,0.13,3.3,617.44,4613,-0.1,43,2.8
"1361",1361,0.93,15.1,2288.71,8289,-0.07,49,2.1
"1362",1362,0.68,-7.5,1703.86,8411,0.08,95,2.5
"1363",1363,0.3,14.3,1061.13,9796,0.07,77,2.1
"1364",1364,0.75,-9.2,2213.99,6114,-0.09,95,2.7
"1365",1365,0.28,-0.4,1929.56,7800,-0.06,53,2
"1366",1366,0.57,2.8,978.2,7048,0.09,75,2.6
"1367",1367,0.43,-3.3,1441.34,5862,-0.09,65,2.1
"1368",1368,0.6,20.5,1482.37,9316,-0.02,39,2.5
"1369",1369,0.74,13,1562.66,4906,-0.1,52,2.3
"1370",1370,0.09,29,2407.35,8984,-0.1,36,2
"1371",1371,0.01,-3.9,2084.57,5479,-0.03,70,2.5
"1372",1372,0.82,11.3,1500.06,4229,-0.09,86,3
"1373",1373,0.86,6.2,2255.33,5343,-0.01,87,2.5
"1374",1374,0.71,-1.3,1385.43,9892,-0.02,77,2.6
"1375",1375,0.15,8.9,1165.47,4874,-0.06,43,2.5
"1376",1376,0.65,5.6,720.23,7132,0,56,2.8
"1377",1377,0.27,2.4,1387.35,4086,0.02,91,3
"1378",1378,0.53,-4.5,2311.53,4416,0.05,18,2.6
"1379",1379,0.27,19.1,1377.77,4996,0.02,49,2.5
"1380",1380,0.08,-7.7,645.21,9668,-0.09,13,2.1
"1381",1381,0.01,14.3,1527.19,6032,-0.09,51,2.1
"1382",1382,0.8,16.2,1732.91,8160,0.06,35,2.2
"1383",1383,0.17,13.3,2292.97,4407,-0.03,23,2.1
"1384",1384,0.39,6.9,2153.69,6368,-0.05,36,2.9
"1385",1385,0.2,27.7,930.32,8391,0,73,2
"1386",1386,0.21,18.2,721.59,5695,0.01,79,2.5
"1387",1387,0.09,22.7,1632.44,6424,-0.01,95,2.6
"1388",1388,0.47,7.2,583.45,4801,0.03,28,2
"1389",1389,0.74,29.4,691.86,6001,-0.09,67,2.8
"1390",1390,0.36,-9.9,1658.78,7058,-0.08,21,2.5
"1391",1391,0.15,27.1,2215.5,8602,-0.09,32,2.7
"1392",1392,0.38,13.7,1422.93,6796,-0.05,68,2.7
"1393",1393,0.05,9.5,2035.8,5846,0.07,95,2.6
"1394",1394,0.32,20.3,1747.86,6208,-0.01,28,2.2
"1395",1395,0.05,3.5,1571.76,6799,0.03,45,2.5
"1396",1396,0.21,11.9,1429.91,6317,-0.04,25,2.9
"1397",1397,0,5.6,675.7,4289,-0.09,25,2.1
"1398",1398,0.69,13.1,640.11,4536,-0.08,79,2.6
"1399",1399,0.09,6.5,2438.37,5598,-0.08,45,2.8
"1400",1400,0.41,10.9,2182.27,8271,0.05,13,2.3
"1401",1401,0.3,3.6,1979.98,6231,-0.02,81,2.2
"1402",1402,0.58,-8.7,1216.44,5222,0.01,85,2.2
"1403",1403,0.48,-1.3,2002.56,9350,-0.07,92,2.9
"1404",1404,0.78,-5,1411.64,4165,-0.09,15,2.7
"1405",1405,0.81,20.7,1761.57,4522,-0.04,50,2.4
"1406",1406,0.57,-4.2,2437.89,8599,-0.06,51,2.6
"1407",1407,0.2,12.5,1495.91,4596,0.06,60,2.9
"1408",1408,0.75,0.2,901.74,5791,-0.1,17,2.8
"1409",1409,0.52,-5.4,640.89,4264,-0.06,99,2.9
"1410",1410,0.16,20.6,1396.21,4957,0.06,96,2.9
"1411",1411,0.76,26.2,1701.31,9230,0.08,91,2
"1412",1412,0.33,7.7,1663.53,6538,-0.07,19,2.4
"1413",1413,0.88,-8.1,2013.32,4649,-0.06,20,2.2
"1414",1414,0.72,5.8,1661.09,4463,-0.02,42,2.4
"1415",1415,0.19,-1.7,1924.83,8558,0.07,53,3
"1416",1416,0.41,17.4,1749.65,9168,-0.07,20,2.9
"1417",1417,0.32,-6.3,1182.02,6013,-0.07,88,2.8
"1418",1418,0.63,-0.7,1099.64,7998,-0.09,47,2.5
"1419",1419,0.25,5.8,1740.34,4517,0.06,83,2
"1420",1420,0.68,7.2,1086.07,7334,-0.06,82,2.3
"1421",1421,0.26,0.2,538.55,4293,-0.08,43,2.3
"1422",1422,0.52,11.5,1813.3,7135,-0.02,39,2.9
"1423",1423,0.5,24.2,1687.15,4134,-0.06,58,2.5
"1424",1424,0.58,23.3,2085.15,7881,0.1,52,2.5
"1425",1425,0.42,28.9,1020.77,6079,-0.09,47,2.3
"1426",1426,0.56,17.7,2464.99,6569,0.03,45,2.9
"1427",1427,0.47,10.6,1979.6,9942,-0.06,64,2.3
"1428",1428,0.38,22.2,2094.55,9807,-0.01,87,2.3
"1429",1429,0.83,29.9,2304.11,5556,0.05,59,2.6
"1430",1430,0.39,-1.5,697.51,7088,-0.06,56,2.9
"1431",1431,0.51,-7.7,2140.21,6341,0.08,73,2.8
"1432",1432,0.35,-0.9,1131.94,9279,0.04,89,2.6
"1433",1433,0.08,18.1,729.93,5906,0.08,48,3
"1434",1434,0.2,8.5,1034.78,4200,0.06,14,2.8
"1435",1435,0.92,-2,1064.39,6703,-0.04,53,2
"1436",1436,0.4,14.6,1633.41,6233,-0.02,36,2
"1437",1437,0.64,21.5,1828.93,6987,0.01,74,2.4
"1438",1438,0.04,4.4,1065.92,8989,0.02,37,2.9
"1439",1439,0.98,2.7,1215.13,8346,0.05,32,2.4
"1440",1440,0.75,24.9,1129.18,4460,0.02,63,2.6
"1441",1441,0.25,8.4,1509.13,5157,-0.09,89,2.1
"1442",1442,0.54,-5,1018.8,8799,-0.07,91,2.3
"1443",1443,0.69,20.9,2066.6,9411,0.07,16,2
"1444",1444,0.15,22.4,1895.22,8374,0.08,69,2.7
"1445",1445,0.99,-5.1,2342.01,9640,0.07,74,2.8
"1446",1446,0.56,14,1309.35,5537,0.08,37,2.5
"1447",1447,0.61,2.2,1796.96,9223,-0.03,55,2.6
"1448",1448,0.91,26.3,766.72,9619,0.05,73,2.7
"1449",1449,0.8,9,1623.29,5944,-0.01,78,2.1
"1450",1450,0.8,-9.3,1355.78,6477,0.05,49,3
"1451",1451,0.8,-0.7,1627.7,4128,0.1,50,2.7
"1452",1452,0.18,26.6,1424.9,7653,0.05,20,2.6
"1453",1453,0.24,28.1,584.46,7176,0.05,18,2.5
"1454",1454,0.57,24.1,2222.43,6745,-0.1,30,2.3
"1455",1455,0.81,-9.9,1869.14,6072,0.03,31,2.7
"1456",1456,0.5,1.9,996.84,8427,0.04,74,2.6
"1457",1457,0.96,17.2,1239.6,6370,-0.05,89,2.9
"1458",1458,0.38,-6.2,2493.54,9604,0.08,77,2.8
"1459",1459,0.86,-6.3,832.06,8841,-0.08,12,2.4
"1460",1460,0.04,0.3,2404.14,9952,0.09,77,2.3
"1461",1461,0.85,21.9,917.84,8204,0,40,2.8
"1462",1462,0.46,9.1,1008.5,6702,0.01,63,2.6
"1463",1463,0.82,24.6,1190.26,5269,-0.06,17,2.6
"1464",1464,0.72,29.8,2112.62,4387,-0.1,17,2.7
"1465",1465,0.12,12.5,2306.66,8674,-0.08,51,2
"1466",1466,0.26,-5.9,1917.81,6458,0.02,69,2
"1467",1467,0.77,12.5,2041.47,9383,-0.03,98,2.7
"1468",1468,0.34,14.7,2282.74,4703,-0.01,47,2.9
"1469",1469,0.88,-6.2,1736.39,4956,-0.08,94,2.5
"1470",1470,0.94,0,1025.09,6671,0.02,68,2.6
"1471",1471,0.82,17.3,668.21,6222,-0.06,49,2
"1472",1472,0.31,22.4,742.19,7883,0,77,2.2
"1473",1473,0.45,-0.6,1798.93,5832,0.05,60,2.2
"1474",1474,0.58,22.3,1488.93,5559,-0.04,72,2.6
"1475",1475,0.21,11.6,1952.17,6322,-0.07,89,2.4
"1476",1476,0.64,29.7,2015.19,5319,-0.03,48,2.9
"1477",1477,0.48,-3.7,1863.07,6075,0.05,25,2.3
"1478",1478,0.27,-8.5,779.45,6610,0.09,77,2.1
"1479",1479,0.47,27.2,1291.75,7064,-0.06,85,2.9
"1480",1480,0.26,12.1,2158.87,6440,-0.03,20,2.3
"1481",1481,0.54,15.6,2182.48,9618,0.08,67,2.9
"1482",1482,0.63,-5.5,502.7,5279,-0.1,48,2.2
"1483",1483,0.34,24.3,1996.53,8413,0.03,60,2.3
