"","Case","l_sub","a_poly","b_poly","c_poly","c_star","t_star","r_sea","m_str","m_con","a_ppl","d_i","r_str","r_con","r_ppl","r","slr","rate_op1","rate_op2","rate_op3","rate_op4"
"924",924,0,0,2.43,0.035,17.55,65,0.9,-0.05,0.1,-0.32,0.05,3e-04,-9e-04,-0.004,0.086,0.1,41,43,87,83
"925",925,0,0,2.85,0.033,11.28,94,0.93,-0.05,0.06,-0.07,-0.06,-6e-04,-2e-04,-0.003,0.066,0.78,38,28,83,62
"926",926,0,0,2.68,0.026,4.68,38,0.96,-0.02,-0.07,-0.03,0.05,-7e-04,3e-04,-0.002,0.068,1.1,37,32,92,30
"927",927,0,0,2.08,0.029,10.44,95,0.96,0.02,0.08,-0.17,0.08,8e-04,0,0,0.069,1.36,30,28,58,84
"928",928,0,0,3.44,0.061,2.64,44,0.96,0.04,0,-0.18,-0.03,-6e-04,-6e-04,0.005,0.076,0.33,38,38,57,66
"929",929,0,0,1.02,0.067,8.75,76,0.96,0.05,-0.01,0,0.04,-9e-04,-8e-04,0.005,0.041,1.93,48,32,58,40
"930",930,0,0,1.89,0.02,1.04,37,0.95,-0.09,-0.04,-0.06,-0.02,6e-04,-2e-04,-0.001,0.036,1.94,34,32,72,42
"931",931,0,0,2.32,0.056,10.56,64,0.84,0.09,-0.05,0.14,0,-2e-04,5e-04,-0.002,0.058,0.09,41,46,67,46
"932",932,0,0,2.24,0.065,6.1,77,0.94,-0.09,0.03,-0.18,-0.06,-4e-04,-0.001,-0.001,0.077,0.47,31,34,38,27
"933",933,0,0,3.71,0.016,7.76,50,0.91,-0.08,-0.09,0.15,-0.03,-6e-04,-9e-04,-0.001,0.085,1.78,48,37,49,28
"934",934,0,0,2.05,0.03,12.71,95,0.93,0,-0.09,-0.34,-0.05,0,-7e-04,0.005,0.05,1.64,37,47,62,35
"935",935,0,0,1.72,0.045,15.98,92,0.87,-0.02,0.05,0.06,0.01,7e-04,4e-04,0.004,0.039,1.16,49,34,61,81
"936",936,0,0,2.63,0.019,8.79,87,0.8,0.09,0.1,0.07,-0.02,2e-04,8e-04,0.001,0.08,1.36,47,32,29,49
"937",937,0,0,1.37,0.016,3.27,58,1,-0.08,-0.02,0.16,-0.01,2e-04,-4e-04,-0.003,0.072,0.84,46,30,50,44
"938",938,0,0,2.79,0.01,19,40,0.91,0.05,0.05,0.19,-0.03,-7e-04,-4e-04,-0.004,0.046,0.28,28,49,32,64
"939",939,0,0,0.98,0.006,16.09,70,0.99,-0.07,0.08,0.39,0.07,-7e-04,9e-04,-0.003,0.076,1.14,30,26,33,59
"940",940,0,0,1.83,0.002,18.49,83,0.83,-0.01,-0.03,0.47,0.07,0,-1e-04,0.004,0.083,1.38,33,38,30,72
"941",941,0,0,1.23,0.017,11.74,64,0.8,0.02,0,-0.43,-0.06,0.001,7e-04,-0.004,0.077,1.97,26,46,75,80
"942",942,0,0,1.61,0.027,9.25,54,0.84,0.05,0.01,-0.13,0.09,4e-04,-5e-04,0.003,0.084,0.6,26,47,45,52
"943",943,0,0,2.3,0.031,12.28,43,0.85,-0.09,-0.03,0.33,-0.01,-9e-04,9e-04,-0.004,0.053,0.54,39,36,51,60
"944",944,0,0,1.08,0.044,9.07,84,0.82,0.01,-0.04,0.33,0.1,-1e-04,-5e-04,0.001,0.041,0.46,45,35,26,41
"945",945,0,0,1.02,0.02,16.72,94,0.83,0.03,-0.09,0.04,0.02,2e-04,-0.001,-0.002,0.069,1.24,38,40,33,81
"946",946,0,0,2.53,0.006,9.58,58,0.91,0.1,-0.04,-0.29,0.02,0,-3e-04,-0.001,0.075,0.58,49,49,70,63
"947",947,0,0,1.91,0.024,16.33,63,0.87,0.06,0.04,-0.28,-0.03,3e-04,-1e-04,-0.001,0.047,1.5,45,47,67,86
"948",948,0,0,2.16,0.032,2.48,44,0.95,-0.04,0.04,0.3,0.07,-9e-04,4e-04,0.002,0.064,0.87,47,30,51,62
"949",949,0,0,3.73,0.056,3.41,34,0.97,-0.1,0.05,0.23,-0.06,-2e-04,-9e-04,-0.002,0.099,0.96,29,32,30,93
"950",950,0,0,2.97,0.034,2.88,57,0.83,-0.07,0,-0.06,0.02,-4e-04,-5e-04,0.003,0.039,1.78,32,38,44,65
"951",951,0,0,2.55,0.045,3.93,58,0.9,0.06,0.06,0.32,0.03,-1e-04,-4e-04,0.005,0.044,1.16,40,34,52,45
"952",952,0,0,1.88,0.068,3.26,35,0.95,0.02,0,0.23,-0.1,9e-04,-4e-04,0.005,0.088,1.34,42,31,60,73
"953",953,0,0,3.18,0.011,11.41,54,0.95,0.09,-0.03,-0.44,-0.08,3e-04,-8e-04,-0.004,0.031,0.61,38,34,57,85
"954",954,0,0,3.62,0.01,14.74,65,0.98,-0.06,-0.04,0.2,0.05,-6e-04,7e-04,0.003,0.059,0.26,36,34,37,52
"955",955,0,0,1.68,0.064,13.29,62,0.81,-0.08,-0.1,0.18,0.05,-2e-04,0,-0.003,0.051,0.13,29,35,28,67
"956",956,0,0,2.34,0.007,9.43,82,0.85,0.03,0.05,-0.28,-0.02,-0.001,6e-04,-0.001,0.075,1.24,47,42,82,43
"957",957,0,0,1.39,0.045,17.49,53,0.97,0.04,-0.02,-0.01,-0.06,5e-04,3e-04,-0.001,0.07,1.31,34,47,49,49
"958",958,0,0,3.64,0.034,4.56,37,0.84,0.07,0.1,0.49,-0.07,-7e-04,7e-04,0.002,0.083,0.84,48,50,55,27
"959",959,0,0,1.55,0.043,5.45,89,0.94,-0.08,0.08,0.26,0.01,-8e-04,-8e-04,-0.005,0.085,0.05,39,29,48,26
"960",960,0,0,3,0.066,7.85,46,0.83,-0.08,-0.08,0.48,0.01,-7e-04,2e-04,-0.003,0.098,0.72,39,39,74,71
"961",961,0,0,2.24,0.035,4.23,58,0.9,0.04,-0.05,0.47,-0.08,4e-04,0,-0.003,0.084,1.79,40,27,92,31
"962",962,0,0,2.08,0.038,4.49,84,0.81,0.07,-0.08,-0.3,-0.09,2e-04,1e-04,-0.004,0.065,1.63,35,43,35,73
"963",963,0,0,2.74,0.02,15.56,88,0.93,0.06,0.03,-0.16,-0.02,-1e-04,6e-04,-0.004,0.033,0.43,48,37,33,59
"964",964,0,0,1.67,0.018,9.21,59,0.8,0.07,0.03,0.31,-0.04,0.001,2e-04,-0.003,0.062,0.78,41,47,61,86
"965",965,0,0,2.67,0.033,11.12,91,0.85,-0.03,0,0.45,-0.08,0,-8e-04,-0.003,0.041,0.31,45,50,80,75
"966",966,0,0,2.1,0.016,19.85,51,0.85,0.05,0.07,-0.33,0.09,-3e-04,2e-04,0.002,0.045,0.42,26,30,34,86
"967",967,0,0,1.32,0.042,11.26,57,0.96,-0.06,0.07,-0.04,0.01,-1e-04,9e-04,0,0.093,0.57,37,28,44,66
"968",968,0,0,2.52,-0.005,9.52,35,0.9,0.08,0.02,0.13,0.02,-6e-04,-0.001,0,0.095,0.45,45,44,40,59
"969",969,0,0,3.35,0.018,1.6,73,0.92,-0.05,0.03,-0.32,0.01,4e-04,8e-04,0.003,0.084,1.56,28,27,30,35
"970",970,0,0,1.87,0.057,12.85,52,0.84,0,0.06,-0.32,0.02,-1e-04,5e-04,0.003,0.093,1.41,50,31,29,59
"971",971,0,0,2.49,0.008,0.11,57,0.99,-0.02,0.07,0.28,0,0,2e-04,-0.004,0.03,1.39,27,32,94,31
"972",972,0,0,3.29,0.039,19.82,53,0.97,-0.08,0.09,0.41,-0.03,2e-04,0,-0.002,0.042,1.19,28,27,77,31
"973",973,0,0,3.46,0.029,15.11,88,0.98,0.03,-0.07,-0.41,-0.1,-7e-04,0,-0.004,0.042,1.46,37,26,92,76
"974",974,0,0,1.43,0.03,18.32,42,0.95,0.08,-0.08,0.49,0.1,4e-04,4e-04,-0.001,0.073,1.79,36,28,82,66
"975",975,0,0,2.24,-0.003,12.74,39,0.8,-0.03,-0.09,0.09,-0.01,4e-04,-6e-04,-0.001,0.081,0.3,33,30,42,71
"976",976,0,0,3.8,0.022,19.97,66,0.81,0.08,0.04,-0.18,-0.05,-2e-04,4e-04,0.003,0.047,0.3,31,29,76,87
"977",977,0,0,2.37,-0.006,11.64,91,0.92,0.01,-0.09,-0.06,-0.1,-5e-04,4e-04,-0.002,0.033,0.72,29,40,64,65
"978",978,0,0,2.55,0.001,19.1,48,0.98,0.09,-0.1,0.28,-0.06,-5e-04,-7e-04,0,0.031,0.34,48,35,52,84
"979",979,0,0,0.99,0.064,0.62,44,0.82,0.1,0.03,0.45,-0.09,-9e-04,1e-04,-0.004,0.058,1.77,45,40,80,71
"980",980,0,0,1.99,0.067,15.53,88,0.96,-0.06,-0.08,-0.29,0.06,-5e-04,0,0.003,0.099,1.26,45,45,94,52
"981",981,0,0,3.65,0.047,8.99,46,0.91,-0.01,-0.08,0.3,-0.07,-8e-04,8e-04,-0.002,0.058,0.17,25,28,49,31
"982",982,0,0,1.04,-0.006,16.24,89,0.99,0.1,-0.04,0.05,0,9e-04,-0.001,-0.003,0.056,0.05,35,41,72,80
"983",983,0,0,2.07,0.058,5.91,87,0.96,-0.08,0.08,-0.3,-0.02,-9e-04,-9e-04,-0.003,0.061,0.88,39,39,59,56
"984",984,0,0,2.84,0.023,13.87,92,0.8,0.09,-0.01,0.05,-0.01,-1e-04,7e-04,0.002,0.054,1.57,41,32,44,75
"985",985,0,0,1.64,-0.001,13.52,47,0.81,0.01,0.05,0.11,0,6e-04,1e-04,-0.003,0.034,0.1,32,43,42,35
"986",986,0,0,2.24,0.055,14.79,75,0.97,0.07,0.06,0.22,0.01,-0.001,-1e-04,-0.002,0.062,1.4,33,44,30,92
"987",987,0,0,3.18,0.042,16.69,59,0.99,-0.02,-0.02,-0.06,-0.07,-5e-04,0,-0.001,0.091,0.01,42,32,38,63
"988",988,0,0,1.64,0.017,14.68,100,0.98,-0.01,0.01,0.49,0.07,2e-04,-2e-04,-0.003,0.03,1.06,50,35,68,67
"989",989,0,0,2.57,0.009,15.01,96,0.94,0.02,-0.01,0.12,-0.02,3e-04,9e-04,0.004,0.054,1.42,44,41,34,85
"990",990,0,0,2.64,0.057,13.44,92,0.96,0.05,0.08,0.28,-0.06,6e-04,6e-04,-0.002,0.076,0.91,49,48,82,63
"991",991,0,0,1.68,0.036,13.72,79,0.84,-0.01,0.06,-0.11,0,6e-04,0,-0.004,0.097,1.44,44,31,41,30
"992",992,0,0,2.48,0.033,18.09,46,0.99,0.08,-0.04,-0.06,-0.01,8e-04,-8e-04,0,0.032,1.84,36,35,68,25
"993",993,0,0,2.28,0.031,17.38,52,0.91,0.06,-0.08,-0.19,0.07,1e-04,-6e-04,-0.004,0.079,0.87,47,47,91,59
"994",994,0,0,1.84,0.015,15.61,66,0.88,-0.09,0.04,-0.47,0.09,-3e-04,-9e-04,-0.005,0.041,1.89,34,26,91,38
"995",995,0,0,2.59,0.001,3.08,71,0.99,-0.02,-0.07,-0.24,-0.01,4e-04,6e-04,0.001,0.098,0.41,33,41,77,56
"996",996,0,0,3.48,0.023,10.4,88,0.85,-0.06,-0.03,-0.42,0.05,2e-04,8e-04,0.004,0.059,1.41,46,27,54,54
"997",997,0,0,2.68,0.008,15.33,62,0.86,0.06,0.04,0.48,-0.09,0,0.001,0.001,0.079,1.53,46,26,72,79
"998",998,0,0,2.73,0.063,4.25,93,0.87,-0.01,0.04,0.14,-0.02,8e-04,6e-04,-0.001,0.093,1.52,27,48,75,54
"999",999,0,0,1.79,-0.003,4.74,67,0.81,-0.08,0.09,-0.11,-0.08,-5e-04,-6e-04,-0.004,0.07,0.53,44,48,27,38
"1000",1000,0,0,1.4,0.007,3.7,51,0.86,0.09,0,0.41,0.08,-3e-04,5e-04,0.002,0.096,0.47,39,44,80,35
"1001",1001,0,0,1.45,0.049,16.51,51,0.93,-0.07,0.08,-0.19,0.04,-6e-04,3e-04,-0.002,0.096,1.16,27,39,80,37
"1002",1002,0,0,0.95,0.035,1.71,66,0.86,0.07,0.01,0.34,0.07,-0.001,0.001,-0.001,0.092,1.49,45,33,82,36
"1003",1003,0,0,1.49,0.001,7.29,44,0.84,-0.04,0.05,-0.47,0.1,1e-04,5e-04,-0.004,0.079,1.43,48,33,88,61
"1004",1004,0,0,2.22,0.045,14.92,47,0.96,0.03,0.09,0.13,-0.04,7e-04,-1e-04,-0.002,0.088,1.59,42,42,55,58
"1005",1005,0,0,1.26,0.044,4.46,37,0.87,0.01,-0.01,0.25,0.01,6e-04,8e-04,0,0.093,1.08,47,26,71,82
"1006",1006,0,0,1.03,0.05,12.64,77,0.86,-0.02,0.05,0.4,0.07,9e-04,5e-04,0,0.035,0.38,36,39,77,57
"1007",1007,0,0,3.48,0.041,8.13,38,0.82,0.05,0.02,-0.09,-0.1,-6e-04,0,-0.002,0.053,1.86,31,36,33,73
"1008",1008,0,0,2.73,0.008,2.36,34,0.87,-0.04,0.05,-0.15,0.08,6e-04,9e-04,-0.001,0.096,1.39,29,31,93,94
"1009",1009,0,0,1.91,0.031,12.55,41,0.88,0.1,-0.09,-0.28,-0.02,-7e-04,-9e-04,-0.004,0.031,0.56,40,27,37,67
"1010",1010,0,0,3.18,0.009,0.13,90,0.83,-0.03,0.07,-0.04,0.02,-5e-04,6e-04,0.002,0.059,1.37,43,31,37,40
"1011",1011,0,0,1.37,0.022,14.32,59,0.95,-0.08,-0.03,-0.02,0.07,-8e-04,-3e-04,0.002,0.059,0.67,25,27,36,52
"1012",1012,0,0,3.47,0.027,4.19,63,0.81,0.02,0.03,0.41,-0.03,-9e-04,7e-04,-0.004,0.053,0.7,37,30,83,43
"1013",1013,0,0,3.34,0.048,8.41,56,0.99,-0.06,-0.01,0.35,0.06,-9e-04,3e-04,0,0.089,1.58,39,46,28,45
"1014",1014,0,0,2.83,0.064,2.13,43,0.83,0.07,-0.04,-0.29,0.02,2e-04,9e-04,0.003,0.071,1.53,26,30,76,45
"1015",1015,0,0,1.51,0.008,9.02,33,0.99,0.09,0.05,-0.08,-0.08,0,7e-04,0.003,0.082,0.95,44,30,29,76
"1016",1016,0,0,1.5,0.023,14.26,40,0.89,0.01,0,-0.4,0.05,-3e-04,6e-04,-0.004,0.055,1.48,47,27,58,92
"1017",1017,0,0,2.87,-0.004,0.55,66,0.82,0.08,0.07,-0.5,0,-2e-04,2e-04,-0.002,0.068,1.7,32,35,43,27
"1018",1018,0,0,3.46,0.053,19.62,89,0.86,-0.04,0.06,0.14,-0.04,6e-04,6e-04,0.004,0.093,0.37,31,48,39,33
"1019",1019,0,0,1.52,0.069,14.09,57,0.94,0.08,0.04,0.1,-0.09,-8e-04,5e-04,0.003,0.068,1.27,34,33,85,61
"1020",1020,0,0,1.92,0.021,18.44,58,0.88,0.05,-0.09,0.48,-0.05,-5e-04,-8e-04,-0.001,0.096,0.03,27,39,88,35
"1021",1021,0,0,2.3,0.067,18.61,72,0.9,0.09,0.08,0.43,0.01,1e-04,5e-04,-0.001,0.046,1.26,38,32,26,90
"1022",1022,0,0,1.97,0.039,2.3,87,0.95,-0.07,-0.08,-0.09,-0.02,4e-04,1e-04,0.002,0.034,0.92,32,35,82,77
"1023",1023,0,0,2.1,-0.005,14.11,63,0.99,-0.08,-0.02,-0.03,0.02,-8e-04,-1e-04,-0.004,0.09,1.21,44,37,75,95
"1024",1024,0,0,1.12,0.051,18.95,34,0.84,0.08,-0.04,-0.08,-0.04,5e-04,5e-04,0.002,0.086,0.14,47,41,43,72
"1025",1025,0,0,3.1,0.033,8.92,39,0.94,0.05,0,0,-0.06,0.001,-6e-04,-0.005,0.097,1.7,30,41,74,62
"1026",1026,0,0,3.32,0.061,9.39,63,0.93,-0.05,-0.09,-0.45,0.02,-1e-04,-7e-04,-0.004,0.088,0.23,43,33,79,33
"1027",1027,0,0,2.14,0.033,18.18,80,0.8,-0.07,-0.09,-0.28,0.09,9e-04,-6e-04,0.003,0.062,0.54,27,44,82,46
"1028",1028,0,0,2.25,0.053,2.7,68,0.97,0.03,-0.09,0.34,0.06,5e-04,4e-04,0,0.062,1.18,32,26,93,80
"1029",1029,0,0,2.03,0.012,19.82,49,0.91,0.07,-0.02,0.29,0.01,-7e-04,-2e-04,0.003,0.057,0.9,28,47,85,40
"1030",1030,0,0,2.19,0.012,10.17,84,0.99,-0.01,0.09,-0.01,-0.07,-4e-04,-2e-04,-0.001,0.097,0.18,30,31,84,52
"1031",1031,0,0,3.33,0.005,3.02,53,0.87,-0.03,-0.02,-0.09,-0.04,-2e-04,6e-04,0.002,0.044,1.89,31,32,69,61
"1032",1032,0,0,1.33,0.05,16.1,88,0.83,0,-0.1,0.31,0,8e-04,6e-04,-0.002,0.053,0.41,33,45,60,75
"1033",1033,0,0,2.99,0.067,7.34,50,0.86,-0.05,-0.02,0.02,-0.01,8e-04,5e-04,-0.002,0.093,0.54,42,45,27,87
"1034",1034,0,0,3.13,0.027,16.63,37,0.97,0.02,-0.03,-0.44,-0.09,7e-04,-7e-04,0.004,0.094,1.12,36,35,43,44
"1035",1035,0,0,1.71,0.035,14.9,97,0.82,-0.05,-0.03,-0.27,-0.01,-8e-04,4e-04,-0.003,0.065,0.89,30,29,41,67
"1036",1036,0,0,3.31,0.032,2.74,63,0.81,0.08,-0.01,-0.42,0,-1e-04,-2e-04,0.004,0.074,0.21,26,25,93,91
"1037",1037,0,0,1.3,0.019,2.59,39,0.9,0.07,-0.04,-0.17,0.05,-4e-04,-9e-04,0.004,0.068,0.86,45,42,30,40
"1038",1038,0,0,1.69,0.052,6.6,53,0.85,-0.08,0.08,0.06,-0.04,3e-04,5e-04,0.004,0.081,1.46,25,43,78,63
"1039",1039,0,0,1.77,0.039,17.99,79,0.9,0.09,-0.08,-0.17,0.07,3e-04,9e-04,0.001,0.036,0.52,29,32,63,38
"1040",1040,0,0,2.76,0.035,9.23,82,0.82,0.08,0.08,-0.2,0.05,-6e-04,-7e-04,0.003,0.043,1.91,30,25,50,68
"1041",1041,0,0,2.48,0.035,18.64,69,0.94,0.04,-0.08,-0.39,-0.06,-8e-04,-4e-04,-0.004,0.091,1.31,32,26,67,62
"1042",1042,0,0,1.72,0.057,6.72,91,0.95,0.03,0,0.24,-0.07,1e-04,2e-04,-0.003,0.06,0.73,28,43,27,68
"1043",1043,0,0,1.5,0.013,3.05,97,1,0,0.06,-0.05,-0.1,7e-04,6e-04,0,0.032,1.88,43,33,55,71
"1044",1044,0,0,0.99,0.05,0.93,95,0.99,-0.01,0.07,0.4,0.01,0,-3e-04,0.004,0.07,0.94,38,34,43,84
"1045",1045,0,0,3.2,0.042,3.69,74,0.92,-0.08,0.07,0.08,-0.04,7e-04,-8e-04,-0.003,0.076,1.78,34,43,81,89
"1046",1046,0,0,3,0.018,8.66,43,0.95,0.09,0.06,0.28,-0.04,-2e-04,7e-04,0.001,0.082,1.6,50,47,46,48
"1047",1047,0,0,1.21,0.016,10.55,39,0.88,0.09,-0.09,0.3,0.01,9e-04,3e-04,0.001,0.053,0.16,39,36,55,36
"1048",1048,0,0,1.88,0.029,18.4,53,0.82,-0.05,0.04,-0.1,0.05,-1e-04,-4e-04,-0.001,0.048,0.16,26,38,83,33
"1049",1049,0,0,2.81,0.032,9.85,36,0.86,-0.09,0.06,-0.01,0.06,-9e-04,-3e-04,-0.005,0.057,1.94,28,50,80,37
"1050",1050,0,0,2.89,0.049,11.68,68,0.84,-0.01,0,-0.11,0.03,-8e-04,-3e-04,-0.004,0.076,1.18,44,27,69,66
"1051",1051,0,0,1.11,0.019,4.47,58,0.96,-0.06,0.1,0.17,0.01,-1e-04,9e-04,0.001,0.051,0.27,28,34,77,47
"1052",1052,0,0,1.86,0.014,8.49,72,0.96,0.09,0.06,0.27,0.01,2e-04,4e-04,0.002,0.056,1.93,49,38,28,27
"1053",1053,0,0,2.44,0.023,10.57,94,0.95,0.04,-0.01,-0.13,-0.01,-3e-04,-4e-04,0.005,0.074,0.51,28,34,71,94
"1054",1054,0,0,3.7,0.062,10.07,45,0.98,0.04,0.07,0.08,0,-5e-04,4e-04,-0.004,0.07,0.84,45,43,56,84
"1055",1055,0,0,2.92,0.032,10.53,67,0.95,0.1,-0.06,0.04,0.09,0.001,1e-04,0.001,0.083,0.47,35,26,65,62
"1056",1056,0,0,2.79,0.014,10.22,60,0.9,-0.06,-0.05,-0.18,-0.1,-7e-04,4e-04,0.005,0.047,1.99,30,39,25,68
"1057",1057,0,0,3.43,0.02,7.87,73,0.96,-0.04,-0.04,0.22,-0.06,-5e-04,8e-04,-0.004,0.054,0.32,47,35,41,57
"1058",1058,0,0,1.09,0.04,0.35,89,0.9,-0.09,-0.09,-0.42,0,-3e-04,9e-04,-0.004,0.068,0.15,42,45,82,65
"1059",1059,0,0,1.21,0.064,0.94,44,0.96,0.02,-0.01,0.11,0.09,-2e-04,3e-04,0.004,0.07,1.69,43,35,69,43
"1060",1060,0,0,2.42,0.049,17.13,82,0.93,-0.04,-0.07,-0.01,-0.01,6e-04,-7e-04,0,0.038,1.23,42,40,34,53
"1061",1061,0,0,1.43,0.055,8.77,63,0.85,0.04,-0.03,0.17,0.06,1e-04,-2e-04,-0.005,0.066,0.15,48,30,74,72
"1062",1062,0,0,1.49,0.019,15.53,75,0.98,-0.01,0.03,0.39,0.05,-5e-04,0,0.002,0.047,0.27,47,35,47,34
"1063",1063,0,0,3.6,0.029,9.7,82,0.96,0.08,-0.06,-0.3,0.07,9e-04,2e-04,-0.005,0.041,1.7,37,33,28,34
"1064",1064,0,0,2.4,0.037,18.59,83,1,-0.09,0.02,0.23,-0.02,-4e-04,7e-04,-0.003,0.035,0.84,32,26,38,89
"1065",1065,0,0,3.22,0.048,11.14,54,0.92,-0.02,0,-0.32,0.01,-7e-04,6e-04,-0.002,0.095,0.17,29,39,64,82
"1066",1066,0,0,0.93,0.054,1.37,83,0.84,-0.09,0.04,-0.3,0.07,7e-04,-8e-04,0.003,0.057,0.71,36,49,95,75
"1067",1067,0,0,2.99,0.053,17.46,43,0.84,-0.05,0.01,-0.02,0.1,-3e-04,4e-04,0,0.071,1.71,48,36,41,75
"1068",1068,0,0,2,0.065,17.39,77,0.93,0.06,0.09,0.06,0.05,0.001,0,-0.004,0.041,0.17,44,49,48,42
"1069",1069,0,0,3.61,0.021,15.26,82,0.8,-0.08,-0.04,-0.29,-0.06,6e-04,-3e-04,0,0.069,1.21,31,41,73,35
"1070",1070,0,0,1.73,-0.003,10.42,96,0.91,0.06,-0.01,0.09,0.05,4e-04,-2e-04,-0.001,0.033,0.81,41,47,53,93
"1071",1071,0,0,2.57,0.001,15.63,61,0.93,-0.03,0.06,-0.42,0.03,-7e-04,1e-04,0.003,0.037,0.71,41,38,43,77
"1072",1072,0,0,3,-0.005,17.4,76,0.8,0.07,0,-0.15,-0.08,-7e-04,-8e-04,-0.002,0.04,1.01,28,25,65,84
"1073",1073,0,0,2.7,0.002,15.87,87,0.87,-0.09,-0.01,-0.38,-0.04,5e-04,0,-0.002,0.063,0.95,45,40,57,89
"1074",1074,0,0,3.5,0.051,12.97,52,0.98,0.06,-0.1,-0.21,-0.05,-6e-04,-8e-04,-0.003,0.038,1.12,35,44,32,28
"1075",1075,0,0,2.67,0.025,6.36,85,0.81,-0.01,-0.03,-0.25,0.09,8e-04,0,-0.001,0.091,0.5,33,42,86,55
"1076",1076,0,0,2.62,0.01,17.79,58,0.83,-0.04,0.01,-0.44,-0.06,2e-04,7e-04,0.003,0.032,0.63,26,43,71,48
"1077",1077,0,0,1.03,0.038,11.02,89,0.99,-0.1,0.05,-0.49,0.09,8e-04,-7e-04,-0.001,0.066,2,43,39,55,34
"1078",1078,0,0,1.46,0.049,6.44,87,0.99,-0.05,0.04,-0.19,-0.03,8e-04,0.001,-0.002,0.096,1.46,29,49,38,63
"1079",1079,0,0,3.79,0.041,0.05,47,0.88,-0.01,-0.04,-0.26,0.07,-4e-04,-1e-04,0,0.082,1.02,29,35,92,51
"1080",1080,0,0,1.09,0.014,15.18,92,0.83,-0.02,-0.01,-0.35,-0.1,0,-5e-04,-0.001,0.056,1.71,29,49,64,51
"1081",1081,0,0,3.24,0.004,8.79,63,0.91,-0.1,-0.02,0.4,0.08,5e-04,-6e-04,0.004,0.068,1.47,25,49,77,75
"1082",1082,0,0,2.48,0.059,18.43,49,0.94,-0.05,0.05,-0.32,0.05,5e-04,-8e-04,0.004,0.081,1.21,48,42,81,80
"1083",1083,0,0,3.63,0.036,6.86,34,0.84,-0.07,0,0.27,0.05,-1e-04,-7e-04,-0.002,0.032,1.17,43,28,29,55
"1084",1084,0,0,2.93,0.019,19.71,99,0.93,0.09,0.1,-0.09,-0.04,5e-04,6e-04,-0.002,0.033,1.05,36,29,70,45
"1085",1085,0,0,1.35,0.056,9.91,66,0.98,-0.09,0,-0.09,0.09,6e-04,2e-04,0.004,0.088,0.3,30,45,47,90
"1086",1086,0,0,1.83,0.045,15.84,35,0.85,0.02,0.03,0.24,-0.03,8e-04,9e-04,0.001,0.099,0.26,39,44,28,90
"1087",1087,0,0,3.39,-0.006,10.42,44,0.97,0.05,0,-0.24,-0.09,-1e-04,4e-04,0.001,0.059,1.04,46,47,68,34
"1088",1088,0,0,2,0.003,14.12,68,0.86,0.08,0.06,-0.2,-0.04,7e-04,-0.001,-0.003,0.031,1.68,43,37,57,71
"1089",1089,0,0,1.66,0.07,5.78,94,0.99,0.05,-0.06,0.05,0.04,0.001,-6e-04,0.004,0.062,0.08,36,50,39,68
"1090",1090,0,0,2.68,0.057,14.37,66,0.84,0.08,0.04,0.01,-0.01,6e-04,3e-04,-0.002,0.031,1.51,47,32,36,72
"1091",1091,0,0,3.67,0.048,7.74,59,0.91,-0.07,-0.02,-0.24,0.07,9e-04,4e-04,-0.004,0.097,1.33,42,41,26,28
"1092",1092,0,0,1.38,-0.004,6.12,36,0.87,0.05,-0.1,0.1,-0.07,6e-04,8e-04,-0.002,0.079,1.78,44,45,60,25
"1093",1093,0,0,3.2,0.01,14.59,50,0.94,0,0.07,0.22,0,-0.001,-6e-04,-0.001,0.051,1.89,43,43,62,53
"1094",1094,0,0,3.39,0.031,0.9,76,0.84,0.02,-0.08,-0.37,-0.06,-4e-04,0,0.004,0.063,0.62,43,46,54,65
"1095",1095,0,0,2.92,0.053,14.62,54,0.81,-0.01,0.07,-0.15,-0.02,0,-8e-04,0.004,0.08,0.53,29,35,92,40
"1096",1096,0,0,2.59,0.01,7.24,99,0.84,-0.03,0.06,0.42,0.05,3e-04,9e-04,0.005,0.087,1.03,29,34,93,94
"1097",1097,0,0,1.86,0.054,9.34,69,0.99,0.09,-0.01,-0.16,0.01,-3e-04,5e-04,-0.005,0.051,1.98,44,49,32,26
"1098",1098,0,0,2.66,0.021,0.77,86,0.97,0,-0.08,0.43,-0.01,3e-04,-6e-04,-0.005,0.066,0.92,42,31,57,50
"1099",1099,0,0,3.44,0.062,4.64,86,0.85,-0.02,-0.09,0.3,0.1,8e-04,6e-04,-0.001,0.077,0.08,47,48,25,33
"1100",1100,0,0,2.93,0.005,3.72,81,0.86,0.03,0.07,-0.12,0.05,-1e-04,8e-04,-0.004,0.049,0.69,37,32,82,61
"1101",1101,0,0,2.01,0.017,4.7,36,0.94,0.07,0.02,-0.13,0.08,8e-04,5e-04,-0.001,0.049,0.45,38,50,74,60
"1102",1102,0,0,3.61,0.019,6.54,98,0.8,0.08,0.07,0.37,0,-6e-04,-0.001,0.001,0.039,0.24,44,50,75,72
"1103",1103,0,0,2.34,0.026,17.57,51,0.8,0.08,0.1,-0.35,0.06,0.001,2e-04,-0.002,0.052,0.01,36,39,78,72
"1104",1104,0,0,3.67,0.066,13.69,56,0.89,-0.07,-0.02,-0.35,0.03,-8e-04,7e-04,-0.001,0.087,0.84,29,31,81,34
